Country,Population,Percent
"8,232,000,000",100%,13 Jun 2025
"1,417,492,000",17.2%,1 Jul 2025
"1,404,890,000",17.1%,31 Dec 2025
"341,784,857",4.1%,1 Jul 2025
"288,315,089",3.5%,31 Dec 2025
"241,499,431",2.9%,1 Mar 2023
"223,800,000",2.7%,1 Jul 2023
"213,421,037",2.6%,1 Jul 2025
"169,828,911",2.1%,14 Jun 2022
"146,028,325",1.8%,1 Jan 2025
"131,001,723",1.6%,31 Dec 2025
"122,850,000",1.5%,1 Mar 2026
"114,123,600",1.4%,1 Jul 2025
"112,832,000",1.4%,1 Jul 2025
"111,652,998",1.4%,1 Jul 2025
"107,868,296",1.3%,1 Jul 2025
"102,300,000",1.2%,31 Dec 2025
"86,563,000",1.1%,20 Mar 2025
"86,092,168",1.0%,31 Dec 2025
"83,497,147",1.0%,30 Sep 2025
"69,487,000",0.8%,30 Jun 2025
"69,081,996",0.8%,1 Jan 2026
"68,153,004",0.8%,1 Jul 2025
"65,826,149",0.8%,30 Nov 2025
"63,100,945",0.8%,30 Jun 2025
"58,942,828",0.7%,31 Dec 2025
"53,330,978",0.6%,1 Jul 2025
"53,057,212",0.6%,1 Jan 2025
"51,662,000",0.6%,1 Jul 2025
"51,375,327",0.6%,15 Oct 2024
"51,111,158",0.6%,31 Jan 2026
"49,570,725",0.6%,1 Jan 2026
"47,400,000",0.6%,1 Jan 2025
"46,387,098",0.6%,1 Jul 2025
"46,118,793",0.6%,21 Nov 2024
"45,905,417",0.6%,10 May 2024
"43,844,000",0.5%,1 Jul 2025
"41,472,081",0.5%,1 Jan 2026
"38,236,704",0.5%,1 Jan 2026
"37,314,000",0.5%,31 Jan 2026
"36,828,330",0.4%,1 Sep 2024
"36,604,681",0.4%,19 Sep 2024
"35,300,280",0.4%,1 Jul 2024
"34,350,244",0.4%,1 Jul 2025
"34,334,400",0.4%,31 Dec 2025
"34,090,466",0.4%,1 Jul 2025
"33,742,380",0.4%,1 Jul 2025
"32,684,503",0.4%,1 Jul 2023
"31,727,042",0.4%,1 Jul 2025
"31,719,275",0.4%,31 Dec 2024
"29,911,840",0.4%,25 Nov 2025
"29,442,327",0.4%,1 Jul 2025
"28,700,000",0.3%,1 Sep 2025
"28,517,000",0.3%,1 Jul 2025
"27,724,744",0.3%,30 Sep 2025
"27,522,750",0.3%,1 Jul 2025
"25,950,000",0.3%,1 Jul 2024
"25,620,427",0.3%,1 Jul 2025
"24,070,553",0.3%,1 Jul 2025
"23,280,273",0.3%,28 Feb 2026
"22,395,489",0.3%,15 Jun 2022
"21,781,800",0.3%,19 Dec 2024
"20,734,262",0.3%,1 Jul 2025
"20,532,240",0.2%,1 Mar 2026
"20,206,953",0.2%,30 Jun 2025
"19,693,423",0.2%,8 Sep 2022
"19,655,000",0.2%,1 Jul 2025
"19,340,757",0.2%,1 Jul 2025
"19,036,031",0.2%,1 Jan 2025
"18,593,258",0.2%,1 Jul 2024
"18,137,265",0.2%,28 Feb 2026
"18,103,660",0.2%,1 Jul 2025
"18,079,810",0.2%,1 Jul 2025
"17,577,760",0.2%,1 Jul 2025
"17,073,087",0.2%,1 Jul 2025
"15,786,898",0.2%,1 Jul 2025
"17,521,167",0.2%,1 Jul 2025
"14,104,969",0.2%,1 Jul 2025
"13,224,860",0.2%,1 Jul 2025
"12,332,788",0.1%,16 Aug 2024
"11,972,169",0.1%,6 Nov 2024
"11,937,000",0.1%,31 Dec 2025
"11,930,567",0.1%,1 Feb 2026
"11,867,032",0.1%,1 Jul 2024
"11,365,333",0.1%,23 Mar 2024
"11,294,243",0.1%,31 Dec 2024
"10,915,839",0.1%,31 Dec 2025
"10,771,504",0.1%,10 Nov 2022
"10,749,635",0.1%,31 Dec 2024
"10,604,464",0.1%,31 Jan 2025
"10,499,000",0.1%,1 Jan 2025
"10,372,335",0.1%,1 Jan 2025
"10,259,701",0.1%,1 Dec 2025
"10,196,700",0.1%,28 Feb 2026
"10,185,363",0.1%,16 Jun 2024
"9,892,632",0.1%,1 Jul 2024
"9,748,007",0.1%,31 Dec 2024
"9,489,000",0.1%,1 Jan 2026
"9,219,113",0.1%,1 Jan 2026
"9,109,280",0.1%,1 Jan 2025
"9,124,288",0.1%,31 Dec 2025
"9,077,691",0.1%,1 Jul 2025
"8,095,498",0.10%,8 Nov 2022
"7,647,000",0.09%,1 Jul 2024
"7,510,800",0.09%,31 Dec 2025
"7,459,000",0.09%,1 Jul 2025
"7,404,300",0.09%,1 Jan 2026
"7,057,841",0.09%,17 Dec 2022
"6,874,748",0.08%,30 Jun 2024
"6,567,783",0.08%,1 Jan 2025
"6,470,307",0.08%,1 Jul 2024
"6,437,360",0.08%,31 Dec 2024
"6,142,180",0.07%,17 May 2023
"6,110,200",0.07%,30 Jun 2025
"6,109,644",0.07%,9 Nov 2022
"6,029,976",0.07%,2 May 2024
"6,028,459",0.07%,1 Feb 2026
"5,656,779",0.07%,28 Feb 2026
"5,627,400",0.07%,31 Dec 2025
"5,490,000",0.07%,1 Jul 2021
"5,483,450",0.07%,1 Jan 2023
"5,458,600",0.07%,1 Apr 2025
"5,409,407",0.07%,31 Dec 2025
"5,359,557",0.07%,31 Dec 2025
"5,342,000",0.06%,31 Dec 2025
"5,248,621",0.06%,10 Nov 2022
"5,191,824",0.06%,30 Jun 2025
"4,927,532",0.06%,25 Dec 2023
"4,881,254",0.06%,1 Jan 2025
"4,064,780",0.05%,8 Jan 2023
"3,866,233",0.05%,1 Jul 2024
"3,704,500",0.04%,1 Jan 2025
"3,607,000",0.04%,1 Jul 2025
"3,544,835",0.04%,31 Dec 2024
"3,485,931",0.04%,30 Jun 2025
"3,412,000",0.04%,1 Jul 2024
"3,214,609",0.04%,31 Dec 2025
"3,184,195",0.04%,1 Jul 2025
"3,076,200",0.04%,1 Jan 2025
"3,022,401",0.04%,24 Sep 2023
"2,885,752",0.04%,1 Mar 2026
"2,774,538",0.03%,12 Sep 2022
"2,469,296",0.03%,1 Jul 2025
"2,422,712",0.03%,1 May 2024
"2,381,300",0.03%,1 Jan 2025
"2,363,314",0.03%,1 Jan 2025
"2,359,609",0.03%,18 Mar 2022
"2,133,852",0.03%,1 Oct 2025
"2,116,427",0.03%,2024
"1,852,784",0.02%,1 Jul 2025
"1,823,500",0.02%,1 Jan 2026
"1,822,612",0.02%,31 Dec 2024
"1,668,768",0.02%,1 Jul 2024
"1,594,654",0.02%,31 Dec 2024
"1,585,566",0.02%,4 Apr 2024
"1,391,221",0.02%,1 Jul 2025
"1,367,764",0.02%,30 Jun 2025
"1,362,954",0.02%,1 Jan 2026
"1,241,856",0.02%,31 Dec 2025
"1,235,549",0.01%,1 Jul 2024
"1,066,809",0.01%,20 May 2024
"983,000",0.01%,31 Dec 2024
"956,044",0.01%,31 Dec 2024
"944,388",0.01%,2026
"902,623",0.01%,1 Jan 2026
"784,043",0.010%,2025
"750,325",0.009%,1 Jul 2024
"688,900",0.008%,31 Dec 2025
"681,973",0.008%,1 Jan 2025
"623,327",0.008%,1 Jan 2025
"616,500",0.007%,1 Jul 2021
"600,904",0.007%,1 Jul 2025
"574,250",0.007%,31 Dec 2024
"515,132",0.006%,13 Sep 2022
"491,233",0.006%,16 Jun 2021
"476,214",0.006%,31 Dec 2023
"455,500",0.006%,1 Jul 2024
"417,634",0.005%,1 Jul 2025
"398,165",0.005%,4 Apr 2022
"394,530",0.005%,1 Jan 2026
"367,776",0.004%,31 Mar 2024
"321,409",0.004%,1 Jul 2024
"279,500",0.003%,31 Dec 2024
"267,800",0.003%,31 Dec 2022
"264,596",0.003%,1 Jan 2025
"244,236",0.003%,1 Jan 2022
"209,607",0.003%,2024
"205,557",0.002%,6 Nov 2021
"184,100",0.002%,1 Jul 2023
"156,115",0.002%,1 Jan 2025
"153,836",0.002%,1 Apr 2020
"123,097",0.001%,31 Dec 2025
"120,740",0.001%,1 Jul 2021
"110,872",0.001%,1 Jul 2022
"109,435",0.001%,30 Jun 2025
"109,021",0.001%,2021
"103,603",0.001%,1 Jan 2024
"103,267",0.001%,21 Mar 2021
"100,179",0.001%,30 Nov 2021
"89,365",0.001%,28 Feb 2026
"88,833",0.001%,31 Dec 2024
"87,146",0.001%,1 Apr 2020
"84,975",0.001%,1 Apr 2025
"75,817",0.0009%,12 Feb 2023
"71,946",0.0009%,2018
"64,781",0.0008%,31 Dec 2023
"64,055",0.0008%,1 Jul 2021
"56,740",0.0007%,1 Jan 2026
"56,520",0.0007%,31 Dec 2021
"55,064",0.0007%,1 Feb 2026
"51,320",0.0006%,2022
"50,828",0.0006%,1 Jul 2024
"49,710",0.0006%,1 Apr 2020
"47,329",0.0006%,1 Apr 2020
"42,418",0.0005%,30 Sep 2021
"41,349",0.0005%,1 Jan 2025
"41,237",0.0005%,31 Dec 2025
"39,471",0.0005%,1 Jul 2024
"38,857",0.0005%,31 Dec 2025
"38,196",0.0005%,14 Nov 2022
"34,172",0.0004%,31 Dec 2025
"31,496",0.0004%,1 Jan 2025
"16,733",0.0002%,1 Jul 2021
"16,010",0.0002%,31 Dec 2024
"15,040",0.0002%,1 Jul 2021
"11,680",0.0001%,30 Oct 2021
"11,620",0.0001%,24 Jul 2023
"10,643",0.0001%,12 Dec 2022
"10,562",0.0001%,1 Jan 2025
"5,819",0%,1 Jan 2025
"5,651",0%,1 Jul 2021
"4,386",0%,23 Sep 2023
"3,662",0%,10 Oct 2021
"2,608",0%,1 Jan 2025
"2,188",0%,1 Jan 2021
"1,692",0%,1 Jan 2021
"1,681",0%,11 Nov 2022
882,0%,31 Dec 2024
593,0%,30 Jun 2020
35,0%,1 Jul 2023
